user_id,timestamp,location,amount,merchant,device
user_0,2025-08-13 23:13:21.564817,Bangalore,2045.31,Grocery,web
user_0,2025-08-14 08:19:21.564817,Bangalore,1826.27,Online Store,web
user_0,2025-08-15 03:10:21.564817,Bangalore,1446.6,Grocery,web
user_0,2025-08-15 13:04:21.564817,Bangalore,1073.79,Grocery,web
user_0,2025-08-15 20:33:21.564817,Bangalore,1402.39,Grocery,web
user_0,2025-08-16 17:20:21.564817,Bangalore,1662.14,Grocery,web
user_0,2025-08-17 08:20:21.564817,Bangalore,1705.46,Online Store,web
user_0,2025-08-17 20:55:21.564817,Bangalore,1315.94,Online Store,web
user_0,2025-08-18 11:56:21.564817,Bangalore,1125.55,Online Store,web
user_0,2025-08-19 10:30:21.564817,Bangalore,1336.29,Cafe,web
user_0,2025-08-19 16:25:21.564817,Bangalore,1549.87,Electronics,web
user_0,2025-08-20 06:33:21.564817,Bangalore,1560.37,Electronics,web
user_0,2025-08-20 07:45:21.564817,Bangalore,801.32,Cafe,web
user_0,2025-08-21 07:23:21.564817,Bangalore,951.76,Electronics,web
user_0,2025-08-21 15:37:21.564817,Bangalore,1699.64,Electronics,web
user_0,2025-08-22 10:24:21.564817,Bangalore,1214.55,Electronics,web
user_0,2025-08-22 21:56:21.564817,Bangalore,1409.75,Electronics,web
user_0,2025-08-23 20:52:21.564817,Bangalore,596.45,Cafe,web
user_0,2025-08-24 11:55:21.564817,Bangalore,1092.88,Electronics,web
user_0,2025-08-24 12:29:21.564817,Bangalore,1917.49,Cafe,web
user_0,2025-08-25 01:51:21.564817,Bangalore,2049.08,Cafe,web
user_0,2025-08-25 17:35:21.564817,Bangalore,1899.55,Online Store,web
user_0,2025-08-26 12:27:21.564817,Bangalore,1004.99,Electronics,web
user_0,2025-08-27 09:32:21.564817,Bangalore,1672.83,Online Store,web
user_0,2025-08-28 09:07:21.564817,Bangalore,170.15,Online Store,web
user_0,2025-08-28 19:34:21.564817,Bangalore,1282.16,Electronics,web
user_0,2025-08-29 09:51:21.564817,Bangalore,828.66,Cafe,web
user_0,2025-08-30 09:45:21.564817,Bangalore,1407.09,Grocery,web
user_0,2025-08-31 07:20:21.564817,Bangalore,671.49,Grocery,web
user_0,2025-08-31 23:13:21.564817,Bangalore,1639.72,Cafe,web
user_0,2025-09-01 14:21:21.564817,Bangalore,1360.4,Online Store,web
user_0,2025-09-01 17:11:21.564817,Bangalore,933.87,Cafe,web
user_0,2025-09-02 05:00:21.564817,Bangalore,838.49,Online Store,web
user_0,2025-09-02 13:51:21.564817,Bangalore,663.55,Grocery,web
user_0,2025-09-03 07:57:21.564817,Bangalore,900.85,Electronics,web
user_0,2025-09-03 15:28:21.564817,Bangalore,655.24,Online Store,web
user_0,2025-09-03 20:29:21.564817,Bangalore,1199.6,Grocery,web
user_0,2025-09-03 22:27:21.564817,Bangalore,1223.17,Online Store,web
user_0,2025-09-03 23:48:21.564817,Bangalore,2004.9,Cafe,web
user_0,2025-09-04 07:57:21.564817,Bangalore,1017.84,Electronics,web
user_0,2025-09-05 03:06:21.564817,Bangalore,546.2,Grocery,web
user_0,2025-09-05 07:15:21.564817,Bangalore,1084.01,Online Store,web
user_0,2025-09-05 12:03:21.564817,Bangalore,892.93,Cafe,web
user_0,2025-09-05 20:14:21.564817,Bangalore,1495.87,Online Store,web
user_0,2025-09-05 23:08:21.564817,Bangalore,834.27,Electronics,web
user_0,2025-09-06 13:59:21.564817,Bangalore,1348.96,Electronics,web
user_0,2025-09-06 18:57:21.564817,Bangalore,1283.56,Cafe,web
user_0,2025-09-06 21:16:21.564817,Bangalore,637.26,Cafe,web
user_0,2025-09-06 21:55:21.564817,Bangalore,963.16,Electronics,web
user_0,2025-09-07 20:20:21.564817,Bangalore,1206.26,Electronics,web
user_0,2025-09-08 20:15:21.564817,Bangalore,1847.92,Electronics,web
user_0,2025-09-09 18:55:21.564817,Bangalore,1025.33,Grocery,web
user_0,2025-09-09 19:46:21.564817,Bangalore,1102.57,Cafe,web
user_0,2025-09-10 09:00:21.564817,Bangalore,651.88,Electronics,web
user_0,2025-09-10 22:01:21.564817,Bangalore,1000.77,Electronics,web
user_0,2025-09-11 11:14:21.564817,Bangalore,747.96,Online Store,web
user_0,2025-09-11 22:47:21.564817,Bangalore,1086.24,Online Store,web
user_0,2025-09-12 21:52:21.564817,Bangalore,698.64,Online Store,web
user_0,2025-09-13 08:28:21.564817,Bangalore,1957.56,Cafe,web
user_0,2025-09-14 03:12:21.564817,Bangalore,1002.77,Online Store,web
user_0,2025-09-14 15:17:21.564817,Bangalore,1094.94,Electronics,web
user_0,2025-09-15 02:26:21.564817,Bangalore,808.15,Grocery,web
user_0,2025-09-15 06:19:21.564817,Bangalore,470.65,Grocery,web
user_0,2025-09-15 12:18:21.564817,Bangalore,1096.39,Cafe,web
user_0,2025-09-15 22:45:21.564817,Bangalore,1801.49,Electronics,web
user_0,2025-09-16 03:05:21.564817,Bangalore,1357.09,Grocery,web
user_0,2025-09-16 08:25:21.564817,Bangalore,1176.98,Online Store,web
user_0,2025-09-17 05:23:21.564817,Bangalore,1508.04,Grocery,web
user_0,2025-09-17 08:10:21.564817,Bangalore,2358.68,Cafe,web
user_0,2025-09-17 12:05:21.564817,Bangalore,1703.28,Grocery,web
user_0,2025-09-17 21:22:21.564817,Bangalore,907.89,Online Store,web
user_0,2025-09-18 13:16:21.564817,Bangalore,486.41,Online Store,web
user_0,2025-09-19 01:06:21.564817,Bangalore,979.44,Online Store,web
user_0,2025-09-20 00:25:21.564817,Bangalore,1932.29,Electronics,web
user_0,2025-09-20 16:00:21.564817,Bangalore,1755.89,Grocery,web
user_0,2025-09-21 09:36:21.564817,Bangalore,1303.07,Online Store,web
user_0,2025-09-21 21:43:21.564817,Bangalore,882.14,Online Store,web
user_0,2025-09-22 07:22:21.564817,Bangalore,2238.37,Cafe,web
user_0,2025-09-23 01:01:21.564817,Bangalore,1056.28,Electronics,web
user_0,2025-09-23 10:07:21.564817,Bangalore,1404.66,Cafe,web
user_0,2025-09-24 02:29:21.564817,Bangalore,478.41,Grocery,web
user_0,2025-09-24 10:15:21.564817,Bangalore,970.84,Grocery,web
user_0,2025-09-25 04:36:21.564817,Bangalore,838.1,Electronics,web
user_0,2025-09-25 07:59:21.564817,Bangalore,1465.48,Grocery,web
user_0,2025-09-25 18:53:21.564817,Bangalore,1971.66,Grocery,web
user_0,2025-09-26 16:41:21.564817,Bangalore,739.88,Cafe,web
user_0,2025-09-26 19:00:21.564817,Bangalore,1242.27,Cafe,web
user_0,2025-09-26 20:57:21.564817,Bangalore,419.54,Grocery,web
user_0,2025-09-26 23:08:21.564817,Bangalore,470.42,Electronics,web
user_0,2025-09-27 12:04:21.564817,Bangalore,999.87,Online Store,web
user_0,2025-09-27 17:25:21.564817,Bangalore,1255.27,Grocery,web
user_0,2025-09-27 22:39:21.564817,Bangalore,989.87,Electronics,web
user_0,2025-09-28 15:49:21.564817,Bangalore,419.7,Electronics,web
user_0,2025-09-29 05:44:21.564817,Bangalore,1565.61,Online Store,web
user_0,2025-09-29 22:11:21.564817,Bangalore,769.31,Grocery,web
user_0,2025-09-30 15:56:21.564817,Bangalore,1307.94,Electronics,web
user_0,2025-10-01 10:49:21.564817,Bangalore,1455.3,Online Store,web
user_0,2025-10-01 18:53:21.564817,Bangalore,722.62,Electronics,web
user_0,2025-10-02 01:58:21.564817,Bangalore,1833.73,Online Store,web
user_0,2025-10-03 00:49:21.564817,Bangalore,1303.47,Electronics,web
user_1,2025-08-13 14:13:21.565811,Delhi,2180.72,Cafe,ios
user_1,2025-08-14 08:19:21.565811,Delhi,1238.21,Online Store,ios
user_1,2025-08-14 13:14:21.565811,Delhi,1190.32,Electronics,ios
user_1,2025-08-15 03:18:21.565811,Delhi,1630.38,Online Store,ios
user_1,2025-08-15 21:34:21.565811,Delhi,2376.43,Cafe,ios
user_1,2025-08-16 21:16:21.565811,Delhi,1344.23,Electronics,ios
user_1,2025-08-17 05:42:21.565811,Delhi,1485.13,Grocery,ios
user_1,2025-08-17 11:20:21.565811,Delhi,1822.36,Grocery,ios
user_1,2025-08-17 23:54:21.565811,Delhi,1087.96,Grocery,ios
user_1,2025-08-18 11:20:21.565811,Delhi,1391.26,Electronics,ios
user_1,2025-08-19 02:25:21.565811,Delhi,1435.26,Cafe,ios
user_1,2025-08-19 09:46:21.565811,Delhi,891.09,Electronics,ios
user_1,2025-08-20 07:16:21.565811,Delhi,789.21,Cafe,ios
user_1,2025-08-20 14:04:21.565811,Delhi,1215.45,Online Store,ios
user_1,2025-08-21 04:23:21.565811,Delhi,1635.05,Electronics,ios
user_1,2025-08-21 06:37:21.565811,Delhi,687.79,Cafe,ios
user_1,2025-08-21 18:30:21.565811,Delhi,1501.92,Online Store,ios
user_1,2025-08-22 00:27:21.565811,Delhi,2104.4,Online Store,ios
user_1,2025-08-22 22:31:21.565811,Delhi,879.05,Electronics,ios
user_1,2025-08-23 07:38:21.565811,Delhi,775.91,Electronics,ios
user_1,2025-08-23 10:50:21.565811,Delhi,1552.1,Electronics,ios
user_1,2025-08-23 12:01:21.565811,Delhi,1671.86,Online Store,ios
user_1,2025-08-24 05:07:21.565811,Delhi,2194.28,Electronics,ios
user_1,2025-08-25 04:09:21.565811,Delhi,1026.48,Online Store,ios
user_1,2025-08-25 22:26:21.565811,Delhi,153.41,Grocery,ios
user_1,2025-08-26 11:59:21.565811,Delhi,1851.72,Online Store,ios
user_1,2025-08-27 11:47:21.565811,Delhi,1960.08,Electronics,ios
user_1,2025-08-28 00:49:21.565811,Delhi,1494.5,Online Store,ios
user_1,2025-08-28 21:02:21.565811,Delhi,1188.32,Online Store,ios
user_1,2025-08-29 09:05:21.565811,Delhi,1687.61,Online Store,ios
user_1,2025-08-29 09:29:21.565811,Delhi,1115.35,Online Store,ios
user_1,2025-08-30 04:45:21.565811,Delhi,1761.37,Online Store,ios
user_1,2025-08-30 08:09:21.565811,Delhi,309.65,Grocery,ios
user_1,2025-08-30 14:10:21.565811,Delhi,1494.7,Online Store,ios
user_1,2025-08-30 14:53:21.565811,Delhi,495.02,Cafe,ios
user_1,2025-08-31 08:21:21.565811,Delhi,1725.52,Online Store,ios
user_1,2025-09-01 01:14:21.565811,Delhi,683.88,Online Store,ios
user_1,2025-09-01 03:26:21.565811,Delhi,904.18,Electronics,ios
user_1,2025-09-01 09:41:21.565811,Delhi,885.75,Grocery,ios
user_1,2025-09-01 17:45:21.565811,Delhi,909.97,Electronics,ios
user_1,2025-09-02 07:52:21.565811,Delhi,813.7,Grocery,ios
user_1,2025-09-03 05:29:21.565811,Delhi,1437.57,Electronics,ios
user_1,2025-09-04 00:57:21.565811,Delhi,1830.1,Online Store,ios
user_1,2025-09-04 13:48:21.565811,Delhi,1814.44,Electronics,ios
user_1,2025-09-04 19:08:21.565811,Delhi,776.48,Electronics,ios
user_1,2025-09-05 10:06:21.565811,Delhi,1662.23,Electronics,ios
user_1,2025-09-06 02:40:21.565811,Delhi,616.44,Electronics,ios
user_1,2025-09-06 07:45:21.565811,Delhi,794.86,Online Store,ios
user_1,2025-09-06 09:05:21.565811,Delhi,1432.02,Electronics,ios
user_1,2025-09-06 21:11:21.565811,Delhi,1863.9,Electronics,ios
user_1,2025-09-07 00:57:21.565811,Delhi,1135.29,Electronics,ios
user_1,2025-09-07 13:19:21.565811,Delhi,1106.58,Grocery,ios
user_1,2025-09-07 23:46:21.565811,Delhi,960.66,Cafe,ios
user_1,2025-09-08 11:34:21.565811,Delhi,1637.16,Electronics,ios
user_1,2025-09-08 23:34:21.565811,Delhi,714.64,Grocery,ios
user_1,2025-09-09 04:19:21.565811,Delhi,1564.91,Cafe,ios
user_1,2025-09-09 14:47:21.565811,Delhi,1258.68,Grocery,ios
user_1,2025-09-10 04:50:21.565811,Delhi,2575.53,Online Store,ios
user_1,2025-09-11 01:55:21.565811,Delhi,1430.61,Cafe,ios
user_1,2025-09-11 22:37:21.565811,Delhi,896.16,Grocery,ios
user_1,2025-09-12 10:42:21.565811,Delhi,1490.84,Cafe,ios
user_1,2025-09-12 18:01:21.565811,Delhi,650.13,Online Store,ios
user_1,2025-09-12 19:19:21.565811,Delhi,788.82,Online Store,ios
user_1,2025-09-12 23:01:21.565811,Delhi,984.17,Electronics,ios
user_1,2025-09-13 05:31:21.565811,Delhi,1125.23,Grocery,ios
user_1,2025-09-14 02:54:21.565811,Delhi,2092.04,Electronics,ios
user_1,2025-09-15 01:58:21.565811,Delhi,713.46,Electronics,ios
user_1,2025-09-15 21:38:21.565811,Delhi,1093.28,Online Store,ios
user_1,2025-09-16 04:34:21.565811,Delhi,730.04,Electronics,ios
user_1,2025-09-16 08:17:21.565811,Delhi,950.37,Online Store,ios
user_1,2025-09-16 12:25:21.565811,Delhi,1459.13,Cafe,ios
user_1,2025-09-16 14:43:21.565811,Delhi,1857.29,Cafe,ios
user_1,2025-09-16 18:34:21.565811,Delhi,1244.26,Online Store,ios
user_1,2025-09-17 12:40:21.565811,Delhi,1094.41,Online Store,ios
user_1,2025-09-18 10:21:21.565811,Delhi,580.74,Online Store,ios
